id,nombre,apellido,genero,pais_cd,ranking_pts,categoria
1,Carlos,Rodriguez,M,ESP,2450,U13BS
2,Luis,Fernandez,M,MEX,2320,U13BS
3,Pedro,Lopez,M,ESP,2250,U13BS
4,Miguel,Sanchez,M,ARG,2180,U13BS
5,Diego,Ramirez,M,MEX,2120,U13BS
6,Javier,Flores,M,ESP,2060,U13BS
7,Antonio,Morales,M,ARG,2000,U13BS
8,Roberto,Navarro,M,MEX,1940,U13BS
9,Fernando,Castro,M,ESP,1880,U13BS
10,Andres,Rubio,M,ARG,1820,U13BS
11,Jorge,Delgado,M,MEX,1760,U13BS
12,Ricardo,Munoz,M,ESP,1700,U13BS
13,Pablo,Gomez,M,ARG,1640,U13BS
14,Sergio,Vazquez,M,MEX,1580,U13BS
15,Raul,Blanco,M,ESP,0,U13BS
16,Manuel,Suarez,M,ARG,0,U13BS
17,Maria,Gonzalez,F,ESP,2380,U13GS
18,Ana,Martinez,F,ARG,2290,U13GS
19,Sofia,Garcia,F,MEX,2210,U13GS
20,Laura,Perez,F,ESP,2150,U13GS
21,Carmen,Torres,F,ARG,2090,U13GS
22,Elena,Ruiz,F,MEX,2030,U13GS
23,Isabel,Jimenez,F,ESP,1970,U13GS
24,Paula,Romero,F,ARG,1910,U13GS
25,Lucia,Ortiz,F,MEX,1850,U13GS
26,Beatriz,Molina,F,ESP,1790,U13GS
27,Cristina,Moreno,F,ARG,1730,U13GS
28,Marta,Alvarez,F,MEX,1670,U13GS
29,Rosa,Diaz,F,ESP,1610,U13GS
30,Silvia,Serrano,F,ARG,1550,U13GS
31,Teresa,Castro,F,MEX,0,U13GS
32,Alicia,Gil,F,ESP,0,U13GS
