id,nombre,apellido,genero,pais_cd,ranking_pts,categoria
1,Lucas,Martinez,M,ESP,1400,U15BS
2,Mateo,Garcia,M,MEX,1300,U15BS
3,Sebastian,Hernandez,M,PER,1200,U15BS
4,Diego,Sanchez,M,URY,1100,U15BS
5,Nicolas,Torres,M,VEN,1000,U15BS
6,Alejandro,Jimenez,M,PRY,900,U15BS
7,Daniel,Castro,M,CRI,0,U15BS
8,Valentina,Lopez,F,ARG,1350,U15GS
9,Isabella,Rodriguez,F,COL,1250,U15GS
10,Camila,Gonzalez,F,CHI,1150,U15GS
11,Sofia,Ramirez,F,ECU,1050,U15GS
12,Valeria,Morales,F,BOL,950,U15GS
13,Martina,Flores,F,PAN,850,U15GS
14,Lucia,Vargas,F,DOM,0,U15GS
